Date,Price,Open,High,Low,Vol.,Change %
23-Oct-18,"6,528.70","6,558.60","6,573.60","6,500.50",108.86K,-0.41%
22-Oct-18,"6,555.80","6,583.00","6,612.70","6,529.50",101.57K,-0.41%
21-Oct-18,"6,583.00","6,575.90","6,643.10","6,568.00",92.94K,0.16%
20-Oct-18,"6,572.20","6,511.70","6,593.70","6,495.90",97.77K,0.92%
19-Oct-18,"6,512.00","6,576.40","6,603.20","6,506.90",121.44K,-0.94%
18-Oct-18,"6,574.10","6,690.10","6,736.30","6,530.60",134.15K,-1.68%
17-Oct-18,"6,686.60","6,718.90","6,745.90","6,637.80",136.71K,-0.28%
16-Oct-18,"6,705.30","6,712.40","6,836.70","6,645.40",155.85K,0.08%
15-Oct-18,"6,699.80","6,326.80","7,358.40","6,300.20",443.33K,5.90%
14-Oct-18,"6,326.80","6,321.60","6,390.90","6,300.00",99.38K,0.08%
13-Oct-18,"6,321.70","6,291.30","6,329.30","6,282.80",94.45K,0.48%
12-Oct-18,"6,291.30","6,239.20","6,344.80","6,206.80",147.40K,0.84%
11-Oct-18,"6,239.10","6,618.00","6,622.50","6,206.20",245.28K,-5.72%
10-Oct-18,"6,618.00","6,650.60","6,653.50","6,526.00",101.93K,-0.49%
09-Oct-18,"6,650.80","6,669.60","6,678.90","6,613.30",80.79K,-0.28%
08-Oct-18,"6,669.60","6,611.00","6,699.50","6,589.90",119.68K,0.89%
07-Oct-18,"6,611.00","6,596.30","6,633.90","6,523.80",77.06K,0.22%
06-Oct-18,"6,596.30","6,639.10","6,661.50","6,550.40",9.18M,-0.65%
05-Oct-18,"6,639.10","6,584.20","6,682.30","6,537.60",9.34M,0.83%
04-Oct-18,"6,584.20","6,509.20","6,653.00","6,487.80",9.31M,1.17%
03-Oct-18,"6,507.80","6,549.90","6,563.50","6,429.60",9.21M,-0.64%
02-Oct-18,"6,549.90","6,608.20","6,645.70","6,034.90",9.34M,-0.88%
01-Oct-18,"6,608.20","6,635.20","6,674.70","6,072.70",9.19M,-0.41%
30-Sep-18,"6,635.20","6,603.90","6,673.90","6,533.50",9.34M,0.47%
29-Sep-18,"6,603.90","6,633.90","6,648.40","6,464.40",9.42M,-0.48%
28-Sep-18,"6,636.00","6,685.70","6,809.20","6,538.60",9.57M,-0.79%
27-Sep-18,"6,689.20","6,463.70","6,738.30","6,428.80",9.34M,3.42%
26-Sep-18,"6,468.10","6,443.00","6,551.90","6,384.10",8.64M,0.36%
25-Sep-18,"6,445.10","6,590.60","6,590.60","5,977.00",7.34M,-2.11%
24-Sep-18,"6,584.10","6,713.30","6,728.10","6,559.10",7.57M,-1.79%
23-Sep-18,"6,704.10","6,729.60","6,789.40","6,666.40",7.34M,-0.38%
22-Sep-18,"6,729.60","6,766.70","6,833.30","6,635.50",7.31M,-0.55%
21-Sep-18,"6,766.70","6,490.90","6,780.50","6,489.80",7.73M,4.28%
20-Sep-18,"6,489.20","6,390.40","6,537.50","6,346.40",5.18M,1.55%
19-Sep-18,"6,390.40","6,342.00","6,478.70","6,144.50",3.54M,0.76%
18-Sep-18,"6,342.00","6,251.90","6,388.80","6,228.80",2.82M,1.44%
17-Sep-18,"6,251.90","6,500.20","6,533.50","6,215.90",3.26M,-3.82%
16-Sep-18,"6,500.20","6,519.00","6,520.80","6,406.20",3.34M,-0.29%
15-Sep-18,"6,519.00","6,482.60","6,562.90","6,470.30",3.16M,0.54%
14-Sep-18,"6,483.70","6,482.90","6,579.40","6,412.10",3.20M,0.01%
13-Sep-18,"6,482.90","6,338.00","6,867.30","6,337.80",3.53M,2.29%
12-Sep-18,"6,338.00","6,293.90","6,353.50","6,204.50",3.04M,0.70%
11-Sep-18,"6,293.90","6,320.70","6,391.80","6,189.60",3.30M,-0.43%
10-Sep-18,"6,321.00","6,238.50","6,358.50","6,237.30",3.11M,1.32%
09-Sep-18,"6,238.50","6,184.30","6,432.60","6,148.80",2.84M,0.88%
08-Sep-18,"6,184.30","6,390.90","6,484.30","6,132.30",3.46M,-3.23%
07-Sep-18,"6,390.90","6,514.10","6,540.60","6,316.20",3.30M,-1.89%
06-Sep-18,"6,514.00","6,706.80","6,732.90","6,337.80",4.02M,-2.87%
05-Sep-18,"6,706.80","7,377.50","7,407.50","6,691.80",4.55M,-9.09%
04-Sep-18,"7,377.50","7,264.20","7,409.90","7,234.50",3.92M,1.56%
03-Sep-18,"7,264.20","7,289.80","7,330.70","7,182.80",3.87M,-0.41%
02-Sep-18,"7,293.90","7,189.60","7,334.80","7,117.30",3.90M,1.45%
01-Sep-18,"7,189.60","7,032.40","7,264.30","7,020.40",3.52M,2.21%
31-Aug-18,"7,033.80","6,993.70","7,080.20","6,698.00",4.21M,0.57%
30-Aug-18,"6,993.70","7,029.20","7,050.20","6,798.00",3.74M,-0.50%
29-Aug-18,"7,029.10","7,074.60","7,121.40","6,926.70",4.11M,-0.64%
28-Aug-18,"7,074.60","6,897.60","7,129.70","6,861.20",3.79M,2.57%
27-Aug-18,"6,897.60","6,712.70","6,902.90","6,650.40",3.26M,2.75%
26-Aug-18,"6,712.70","6,734.90","6,892.70","6,573.10",3.37M,-0.33%
